[2026/04/27 16:11:41] 自動運行 | 地圖: 學校 大門 | 自我介紹
[2026/04/27 16:11:57] 進入地圖 | 地圖: 荷蘭時代的台江內海
[2026/04/27 16:11:59] 自動運行 | 地圖: 荷蘭時代的台江內海 | 困惑在圖書館
[2026/04/27 16:12:00] 觸發 | 地圖: 荷蘭時代的台江內海 | 那邊吵架
[2026/04/27 16:12:01] 並行 | 地圖: 荷蘭時代的台江內海 | 士兵氣氣1
[2026/04/27 16:12:01] 並行 | 地圖: 荷蘭時代的台江內海 | 士兵氣氣2
[2026/04/27 16:12:01] 並行 | 地圖: 荷蘭時代的台江內海 | 士兵氣氣3
[2026/04/27 16:12:02] 並行 | 地圖: 荷蘭時代的台江內海 | 士兵氣氣4
[2026/04/27 16:12:02] 並行 | 地圖: 荷蘭時代的台江內海 | 士兵氣氣5
[2026/04/27 16:12:02] 並行 | 地圖: 荷蘭時代的台江內海 | 士兵氣氣6
[2026/04/27 16:12:03] 並行 | 地圖: 荷蘭時代的台江內海 | 士兵氣氣7
[2026/04/27 16:12:03] 並行 | 地圖: 荷蘭時代的台江內海 | 士兵氣氣8
[2026/04/27 16:12:03] 並行 | 地圖: 荷蘭時代的台江內海 | 士兵氣氣9
[2026/04/27 16:12:03] 並行 | 地圖: 荷蘭時代的台江內海 | 士兵氣氣10
[2026/04/27 16:12:05] 自動運行 | 地圖: 荷蘭時代的台江內海 | 漢人哀愁1
[2026/04/27 16:12:05] 自動運行 | 地圖: 荷蘭時代的台江內海 | 漢人哀愁2
[2026/04/27 16:12:05] 自動運行 | 地圖: 荷蘭時代的台江內海 | 漢人哀愁3
[2026/04/27 16:12:06] 自動運行 | 地圖: 荷蘭時代的台江內海 | 漢人哀愁4
[2026/04/27 16:12:06] 自動運行 | 地圖: 荷蘭時代的台江內海 | 漢人哀愁5
[2026/04/27 16:12:10] 點擊角色 | 地圖: 荷蘭時代的台江內海 | 往上走老王1
[2026/04/27 16:12:10] 點擊角色 | 地圖: 荷蘭時代的台江內海 | 往上走老王2
[2026/04/27 16:12:11] 點擊角色 | 地圖: 荷蘭時代的台江內海 | 往上走老王3
[2026/04/27 16:12:11] 點擊角色 | 地圖: 荷蘭時代的台江內海 | 往上走老王4
[2026/04/27 16:12:11] 點擊角色 | 地圖: 荷蘭時代的台江內海 | 往上走老王5
[2026/04/27 16:12:11] 點擊角色 | 地圖: 荷蘭時代的台江內海 | 往上走老王6_年份
[2026/04/27 16:12:11] 點擊角色 | 地圖: 荷蘭時代的台江內海 | 往上走老王7
[2026/04/27 16:12:12] 點擊角色 | 地圖: 荷蘭時代的台江內海 | 往上走老王8
[2026/04/27 16:12:12] 點擊角色 | 地圖: 荷蘭時代的台江內海 | 往上走老王9
[2026/04/27 16:12:12] 點擊角色 | 地圖: 荷蘭時代的台江內海 | 往上走老王10
[2026/04/27 16:12:14] 自動運行 | 地圖: 荷蘭時代的台江內海 | 伯伯問路
[2026/04/27 16:12:15] 點擊角色 | 地圖: 荷蘭時代的台江內海 | 往上走老王11
[2026/04/27 16:12:15] 點擊角色 | 地圖: 荷蘭時代的台江內海 | 往上走老王12
[2026/04/27 16:12:15] 點擊角色 | 地圖: 荷蘭時代的台江內海 | 往上走老王13
[2026/04/27 16:12:16] 點擊角色 | 地圖: 荷蘭時代的台江內海 | 往上走老王13
[2026/04/27 16:12:16] 點擊角色 | 地圖: 荷蘭時代的台江內海 | 往上走老王14
[2026/04/27 16:12:17] 點擊角色 | 地圖: 荷蘭時代的台江內海 | 往上走老王15
[2026/04/27 16:12:17] 點擊角色 | 地圖: 荷蘭時代的台江內海 | 往上走老王16
[2026/04/27 16:12:17] 點擊角色 | 地圖: 荷蘭時代的台江內海 | 往上走老王17
[2026/04/27 16:12:17] 點擊角色 | 地圖: 荷蘭時代的台江內海 | 往上走老王18
[2026/04/27 16:12:20] 點擊角色 | 地圖: 荷蘭時代的台江內海 | 往上走_張蘭
[2026/04/27 16:12:20] 點擊 | 地圖: 荷蘭時代的台江內海 | 往上走張蘭1
[2026/04/27 16:12:20] 點擊 | 地圖: 荷蘭時代的台江內海 | 往上走張蘭2
[2026/04/27 16:12:22] 自動運行 | 地圖: 荷蘭時代的台江內海 | 原民1
[2026/04/27 16:12:22] 自動運行 | 地圖: 荷蘭時代的台江內海 | 原民2
[2026/04/27 16:12:23] 自動運行 | 地圖: 荷蘭時代的台江內海 | 原民3
[2026/04/27 16:12:23] 自動運行 | 地圖: 荷蘭時代的台江內海 | 原民4
[2026/04/27 16:12:23] 自動運行 | 地圖: 荷蘭時代的台江內海 | 原民5
[2026/04/27 16:12:24] 自動運行 | 地圖: 荷蘭時代的台江內海 | 原民5_問怎麼了
[2026/04/27 16:12:25] 自動運行 | 地圖: 荷蘭時代的台江內海 | 原民5_問怎麼了1
[2026/04/27 16:12:26] 自動運行 | 地圖: 荷蘭時代的台江內海 | 原民5_問怎麼了2
[2026/04/27 16:12:26] 自動運行 | 地圖: 荷蘭時代的台江內海 | 原民5_問怎麼了3
[2026/04/27 16:12:26] 自動運行 | 地圖: 荷蘭時代的台江內海 | 原民5_問怎麼了4
[2026/04/27 16:12:26] 自動運行 | 地圖: 荷蘭時代的台江內海 | 原民5_問怎麼了_輸年份
[2026/04/27 16:12:28] 自動運行 | 地圖: 荷蘭時代的台江內海 | 原民5_輸錯年份1
[2026/04/27 16:12:29] 自動運行 | 地圖: 荷蘭時代的台江內海 | 原民5_輸錯年份2
[2026/04/27 16:12:29] 自動運行 | 地圖: 荷蘭時代的台江內海 | 原民5_輸錯年份3
[2026/04/27 16:12:29] 自動運行 | 地圖: 荷蘭時代的台江內海 | 原民5_輸錯年份4
[2026/04/27 16:12:30] 自動運行 | 地圖: 荷蘭時代的台江內海 | 原民5_輸錯年份5
[2026/04/27 16:12:30] 自動運行 | 地圖: 荷蘭時代的台江內海 | 原民5_輸錯年份6
[2026/04/27 16:12:30] 自動運行 | 地圖: 荷蘭時代的台江內海 | 原民5_輸錯年份7
[2026/04/27 16:12:31] 自動運行 | 地圖: 荷蘭時代的台江內海 | 疑惑郭1
[2026/04/27 16:12:31] 自動運行 | 地圖: 荷蘭時代的台江內海 | 疑惑郭2
[2026/04/27 16:12:31] 自動運行 | 地圖: 荷蘭時代的台江內海 | 疑惑郭3
[2026/04/27 16:12:31] 自動運行 | 地圖: 荷蘭時代的台江內海 | 漢人阿姨_張蘭_探究郭1
[2026/04/27 16:12:32] 進入地圖 | 地圖: 荷蘭時代的台江內海
[2026/04/27 16:12:32] 自動運行 | 地圖: 荷蘭時代的台江內海 | 漢人阿姨_張蘭_探究郭2
[2026/04/27 16:12:32] 自動運行 | 地圖: 荷蘭時代的台江內海 | 漢人阿姨_張蘭_探究郭3
[2026/04/27 16:12:33] 自動運行 | 地圖: 荷蘭時代的台江內海 | 漢人阿姨_張蘭_探究郭4
[2026/04/27 16:12:33] 自動運行 | 地圖: 荷蘭時代的台江內海 | 漢人阿姨_張蘭_探究郭5
[2026/04/27 16:12:33] 自動運行 | 地圖: 荷蘭時代的台江內海 | 漢人阿姨_張蘭_探究郭6
[2026/04/27 16:12:33] 場所移動 | 地圖: 荷蘭時代的台江內海 | 聚落外
[2026/04/27 16:12:34] 進入地圖 | 地圖: 聚落外
[2026/04/27 16:12:35] 點擊 | 地圖: 聚落外 | 聚落書精靈1
[2026/04/27 16:12:36] 點擊 | 地圖: 聚落外 | 聚落書精靈2
[2026/04/27 16:12:36] 點擊 | 地圖: 聚落外 | 聚落書精靈3
[2026/04/27 16:12:36] 點擊 | 地圖: 聚落外 | 聚落書精靈4
[2026/04/27 16:12:37] 點擊 | 地圖: 聚落外 | 聚落書精靈5
[2026/04/27 16:12:39] 場所移動 | 地圖: 聚落外 | 漢人聚落
[2026/04/27 16:12:40] 進入地圖 | 地圖: 漢人聚落
[2026/04/27 16:12:42] 點擊 | 地圖: 漢人聚落 | 漢人碎片2_王芳1
[2026/04/27 16:12:42] 點擊 | 地圖: 漢人聚落 | 漢人碎片2_王芳2
[2026/04/27 16:12:43] 點擊 | 地圖: 漢人聚落 | 漢人碎片2_王芳3
[2026/04/27 16:12:43] 點擊 | 地圖: 漢人聚落 | 漢人碎片2_王芳4
[2026/04/27 16:12:43] 點擊 | 地圖: 漢人聚落 | 漢人碎片2_王芳5
[2026/04/27 16:12:43] 點擊 | 地圖: 漢人聚落 | 得到漢人碎片2
[2026/04/27 16:12:45] 點擊 | 地圖: 漢人聚落 | 漢人碎片3_賈化1
[2026/04/27 16:12:46] 點擊 | 地圖: 漢人聚落 | 漢人碎片3_賈化2
[2026/04/27 16:12:46] 點擊 | 地圖: 漢人聚落 | 漢人碎片3_賈化3
[2026/04/27 16:12:46] 點擊 | 地圖: 漢人聚落 | 獲得漢人碎片3
[2026/04/27 16:12:48] 點擊 | 地圖: 漢人聚落 | 漢人碎片5_林永傑1
[2026/04/27 16:12:49] 點擊 | 地圖: 漢人聚落 | 漢人碎片5_林永傑2
[2026/04/27 16:12:50] 點擊 | 地圖: 漢人聚落 | 漢人碎片5_林永傑3
[2026/04/27 16:12:50] 點擊 | 地圖: 漢人聚落 | 漢人碎片5_林永傑4
[2026/04/27 16:12:50] 點擊 | 地圖: 漢人聚落 | 漢人碎片5_林永傑5
[2026/04/27 16:12:50] 點擊 | 地圖: 漢人聚落 | 漢人碎片5_林永傑6
[2026/04/27 16:12:50] 點擊 | 地圖: 漢人聚落 | 漢人碎片5_林永傑7
[2026/04/27 16:12:50] 點擊 | 地圖: 漢人聚落 | 漢人碎片5_林永傑8
[2026/04/27 16:12:51] 點擊 | 地圖: 漢人聚落 | 漢人碎片5_林永傑9
[2026/04/27 16:12:52] 點擊 | 地圖: 漢人聚落 | 獲得漢人碎片5
[2026/04/27 16:12:53] 點擊 | 地圖: 漢人聚落 | 漢人碎片1_甄平1
[2026/04/27 16:12:54] 點擊 | 地圖: 漢人聚落 | 漢人碎片1_甄平2
[2026/04/27 16:12:55] 點擊 | 地圖: 漢人聚落 | 漢人碎片1_甄平3
[2026/04/27 16:12:55] 點擊 | 地圖: 漢人聚落 | 漢人碎片1_甄平4
[2026/04/27 16:12:55] 點擊 | 地圖: 漢人聚落 | 漢人碎片1_甄平5
[2026/04/27 16:12:55] 點擊 | 地圖: 漢人聚落 | 獲得漢人碎片1
[2026/04/27 16:12:58] 點擊 | 地圖: 漢人聚落 | 漢人碎片4_陳沖1
[2026/04/27 16:12:58] 點擊 | 地圖: 漢人聚落 | 漢人碎片4_陳沖2
[2026/04/27 16:12:59] 點擊 | 地圖: 漢人聚落 | 漢人碎片4_陳沖3
[2026/04/27 16:12:59] 點擊 | 地圖: 漢人聚落 | 漢人碎片4_陳沖4
[2026/04/27 16:12:59] 點擊 | 地圖: 漢人聚落 | 漢人碎片4_陳沖5
[2026/04/27 16:12:59] 點擊 | 地圖: 漢人聚落 | 漢人碎片4_陳沖6
[2026/04/27 16:13:00] 點擊 | 地圖: 漢人聚落 | 得到漢人碎片4
[2026/04/27 16:13:00] 自動運行 | 地圖: 漢人聚落 | 書精靈_抓漢人1
[2026/04/27 16:13:00] 自動運行 | 地圖: 漢人聚落 | 書精靈_抓漢人2
[2026/04/27 16:13:01] 自動運行 | 地圖: 漢人聚落 | 書精靈_抓漢人3
[2026/04/27 16:13:01] 自動運行 | 地圖: 漢人聚落 | 書精靈_抓漢人4
[2026/04/27 16:13:05] 自動運行 | 地圖: 漢人聚落 | 抓到漢人
[2026/04/27 16:13:05] 自動運行 | 地圖: 漢人聚落 | 抓到漢人2
[2026/04/27 16:13:07] 場所移動 | 地圖: 漢人聚落 | 聚落外
[2026/04/27 16:13:07] 進入地圖 | 地圖: 聚落外
[2026/04/27 16:13:11] 場所移動 | 地圖: 聚落外 | 荷蘭聚落
[2026/04/27 16:13:12] 進入地圖 | 地圖: 荷蘭人聚落
[2026/04/27 16:13:14] 點擊 | 地圖: 荷蘭人聚落 | 荷蘭人碎片1_馬可1
[2026/04/27 16:13:14] 點擊 | 地圖: 荷蘭人聚落 | 荷蘭人碎片1_馬可2
[2026/04/27 16:13:14] 點擊 | 地圖: 荷蘭人聚落 | 荷蘭人碎片1_馬可3
[2026/04/27 16:13:14] 點擊 | 地圖: 荷蘭人聚落 | 荷蘭人碎片1_馬可4
[2026/04/27 16:13:15] 點擊 | 地圖: 荷蘭人聚落 | 荷蘭人碎片1_馬可5
[2026/04/27 16:13:15] 點擊 | 地圖: 荷蘭人聚落 | 荷蘭人碎片1_馬可選擇
[2026/04/27 16:13:16] 點擊 | 地圖: 荷蘭人聚落 | 荷蘭人碎片1_馬可選擇位置1
[2026/04/27 16:13:16] 點擊 | 地圖: 荷蘭人聚落 | 荷蘭人碎片1_馬可選擇位置2
[2026/04/27 16:13:16] 點擊 | 地圖: 荷蘭人聚落 | 荷蘭人碎片1_馬可選擇位置3
[2026/04/27 16:13:16] 點擊 | 地圖: 荷蘭人聚落 | 荷蘭人碎片1_馬可選擇位置4
[2026/04/27 16:13:17] 點擊 | 地圖: 荷蘭人聚落 | 荷蘭人碎片1_馬可選擇位置5
[2026/04/27 16:13:17] 點擊 | 地圖: 荷蘭人聚落 | 得到荷蘭人碎片1
[2026/04/27 16:13:19] 點擊 | 地圖: 荷蘭人聚落 | 荷蘭人碎片2_比利1
[2026/04/27 16:13:20] 點擊 | 地圖: 荷蘭人聚落 | 荷蘭人碎片2_比利2
[2026/04/27 16:13:25] 進入地圖 | 地圖: 荷蘭人聚落
[2026/04/27 16:13:25] 點擊 | 地圖: 荷蘭人聚落 | 荷蘭人碎片2_比利3
[2026/04/27 16:13:25] 點擊 | 地圖: 荷蘭人聚落 | 荷蘭人碎片2_比利4
[2026/04/27 16:13:26] 點擊 | 地圖: 荷蘭人聚落 | 荷蘭人碎片2_比利5
[2026/04/27 16:13:26] 點擊 | 地圖: 荷蘭人聚落 | 荷蘭人碎片2_比利6
[2026/04/27 16:13:26] 點擊 | 地圖: 荷蘭人聚落 | 荷蘭人碎片2_比利7
[2026/04/27 16:13:26] 點擊 | 地圖: 荷蘭人聚落 | 荷蘭人碎片2_比利8
[2026/04/27 16:13:26] 點擊 | 地圖: 荷蘭人聚落 | 得到荷蘭人碎片2
[2026/04/27 16:13:26] 點擊 | 地圖: 荷蘭人聚落 | 荷蘭人碎片2_比利9
[2026/04/27 16:13:27] 點擊 | 地圖: 荷蘭人聚落 | 荷蘭人碎片2_比利10
[2026/04/27 16:13:27] 點擊 | 地圖: 荷蘭人聚落 | 荷蘭人碎片2_比利11
[2026/04/27 16:13:27] 點擊 | 地圖: 荷蘭人聚落 | 荷蘭人碎片2_比利12
[2026/04/27 16:13:29] 點擊 | 地圖: 荷蘭人聚落 | 荷蘭人碎片34_肯尼1
[2026/04/27 16:13:29] 點擊 | 地圖: 荷蘭人聚落 | 荷蘭人碎片34_肯尼2
[2026/04/27 16:13:29] 點擊 | 地圖: 荷蘭人聚落 | 荷蘭人碎片34_肯尼3
[2026/04/27 16:13:30] 點擊 | 地圖: 荷蘭人聚落 | 荷蘭人碎片34_肯尼4
[2026/04/27 16:13:30] 點擊 | 地圖: 荷蘭人聚落 | 荷蘭人碎片34_肯尼5
[2026/04/27 16:13:30] 點擊 | 地圖: 荷蘭人聚落 | 荷蘭人碎片34_肯尼6
[2026/04/27 16:13:30] 點擊 | 地圖: 荷蘭人聚落 | 荷蘭人碎片34_肯尼7
[2026/04/27 16:13:30] 點擊 | 地圖: 荷蘭人聚落 | 荷蘭人碎片34_肯尼8
[2026/04/27 16:13:30] 點擊 | 地圖: 荷蘭人聚落 | 荷蘭人碎片34_肯尼9
[2026/04/27 16:13:31] 點擊 | 地圖: 荷蘭人聚落 | 荷蘭人碎片34_肯尼10
[2026/04/27 16:13:31] 點擊 | 地圖: 荷蘭人聚落 | 獲得荷蘭人碎片3
[2026/04/27 16:13:31] 點擊 | 地圖: 荷蘭人聚落 | 獲得荷蘭人碎片4
[2026/04/27 16:13:32] 點擊 | 地圖: 荷蘭人聚落 | 荷蘭人碎片5_伊莉莎白1
[2026/04/27 16:13:33] 點擊 | 地圖: 荷蘭人聚落 | 荷蘭人碎片5_伊莉莎白2
[2026/04/27 16:13:34] 點擊 | 地圖: 荷蘭人聚落 | 荷蘭人碎片5_伊莉莎白3
[2026/04/27 16:13:34] 點擊 | 地圖: 荷蘭人聚落 | 荷蘭人碎片5_伊莉莎白4
[2026/04/27 16:13:34] 點擊 | 地圖: 荷蘭人聚落 | 得到荷蘭人碎片5
[2026/04/27 16:13:34] 自動運行 | 地圖: 荷蘭人聚落 | 書精靈_抓荷人1
[2026/04/27 16:13:35] 自動運行 | 地圖: 荷蘭人聚落 | 書精靈_抓荷人2
[2026/04/27 16:13:35] 自動運行 | 地圖: 荷蘭人聚落 | 書精靈_抓荷人3
[2026/04/27 16:13:36] 自動運行 | 地圖: 荷蘭人聚落 | 書精靈_抓荷人4
[2026/04/27 16:13:38] 自動運行 | 地圖: 荷蘭人聚落 | 抓到荷蘭人
[2026/04/27 16:13:38] 自動運行 | 地圖: 荷蘭人聚落 | 抓到荷蘭人2
[2026/04/27 16:13:39] 場所移動 | 地圖: 荷蘭人聚落 | 聚落外
[2026/04/27 16:13:40] 進入地圖 | 地圖: 聚落外
[2026/04/27 16:13:43] 場所移動 | 地圖: 聚落外 | 原民聚落
[2026/04/27 16:13:44] 進入地圖 | 地圖: 原住民家
[2026/04/27 16:13:46] 點擊 | 地圖: 原住民家 | 原住民碎片1_納告1
[2026/04/27 16:13:46] 點擊 | 地圖: 原住民家 | 原住民碎片1_納告2
[2026/04/27 16:13:46] 點擊 | 地圖: 原住民家 | 原住民碎片1_納告3
[2026/04/27 16:13:47] 點擊 | 地圖: 原住民家 | 原住民碎片1_納告4
[2026/04/27 16:13:47] 點擊 | 地圖: 原住民家 | 原住民碎片1_納告5
[2026/04/27 16:13:47] 點擊 | 地圖: 原住民家 | 原住民碎片1_納告6
[2026/04/27 16:13:47] 點擊 | 地圖: 原住民家 | 獲得原住民碎片1
[2026/04/27 16:13:50] 點擊 | 地圖: 原住民家 | 原住民碎片4_菈谷1
[2026/04/27 16:13:50] 點擊 | 地圖: 原住民家 | 原住民碎片4_菈谷2
[2026/04/27 16:13:50] 點擊 | 地圖: 原住民家 | 原住民碎片4_菈谷3
[2026/04/27 16:13:51] 點擊 | 地圖: 原住民家 | 原住民碎片4_菈谷4
[2026/04/27 16:13:51] 點擊 | 地圖: 原住民家 | 原住民碎片4_菈谷5
[2026/04/27 16:13:51] 點擊 | 地圖: 原住民家 | 原住民碎片4_菈谷6
[2026/04/27 16:13:51] 點擊 | 地圖: 原住民家 | 得到原住民碎片4
[2026/04/27 16:13:51] 點擊 | 地圖: 原住民家 | 原住民碎片4_菈谷7
[2026/04/27 16:13:54] 點擊 | 地圖: 原住民家 | 原住民碎片2_哈維1
[2026/04/27 16:13:54] 點擊 | 地圖: 原住民家 | 原住民碎片2_哈維2
[2026/04/27 16:13:54] 點擊 | 地圖: 原住民家 | 原住民碎片2_哈維3
[2026/04/27 16:13:54] 點擊 | 地圖: 原住民家 | 原住民碎片2_哈維4
[2026/04/27 16:13:55] 點擊 | 地圖: 原住民家 | 原住民碎片2_哈維5
[2026/04/27 16:13:55] 點擊 | 地圖: 原住民家 | 原住民碎片2_哈維6
[2026/04/27 16:13:55] 點擊 | 地圖: 原住民家 | 原住民碎片2_哈維7
[2026/04/27 16:13:55] 點擊 | 地圖: 原住民家 | 原住民碎片2_哈維8
[2026/04/27 16:13:55] 點擊 | 地圖: 原住民家 | 原住民碎片2_哈維9
[2026/04/27 16:13:56] 點擊 | 地圖: 原住民家 | 得到原住民碎片2
[2026/04/27 16:13:56] 點擊 | 地圖: 原住民家 | 得到原住民碎片3
[2026/04/27 16:13:57] 點擊 | 地圖: 原住民家 | 原住民碎片5_阿邦1
[2026/04/27 16:13:58] 點擊 | 地圖: 原住民家 | 原住民碎片5_阿邦2
[2026/04/27 16:13:59] 點擊 | 地圖: 原住民家 | 原住民碎片5_阿邦3
[2026/04/27 16:13:59] 點擊 | 地圖: 原住民家 | 原住民碎片5_阿邦4
[2026/04/27 16:14:00] 點擊 | 地圖: 原住民家 | 原住民碎片5_阿邦5
[2026/04/27 16:14:00] 點擊 | 地圖: 原住民家 | 原住民碎片5_阿邦6
[2026/04/27 16:14:01] 點擊 | 地圖: 原住民家 | 原住民碎片5_阿邦7
[2026/04/27 16:14:01] 點擊 | 地圖: 原住民家 | 原住民碎片5_阿邦8
[2026/04/27 16:14:01] 點擊 | 地圖: 原住民家 | 原住民碎片5_阿邦9
[2026/04/27 16:14:02] 點擊 | 地圖: 原住民家 | 原住民碎片5_阿邦10
[2026/04/27 16:14:02] 點擊 | 地圖: 原住民家 | 原住民碎片5_阿邦11
[2026/04/27 16:14:02] 點擊 | 地圖: 原住民家 | 原住民碎片5_阿邦12
[2026/04/27 16:14:02] 點擊 | 地圖: 原住民家 | 原住民碎片5_阿邦13
[2026/04/27 16:14:02] 點擊 | 地圖: 原住民家 | 獲得原住民碎片5
[2026/04/27 16:14:02] 自動運行 | 地圖: 原住民家 | 書精靈_抓原民1
[2026/04/27 16:14:03] 自動運行 | 地圖: 原住民家 | 書精靈_抓原民2
[2026/04/27 16:14:03] 自動運行 | 地圖: 原住民家 | 書精靈_抓原民3
[2026/04/27 16:14:04] 自動運行 | 地圖: 原住民家 | 書精靈_抓原民4
[2026/04/27 16:14:07] 自動運行 | 地圖: 原住民家 | 抓到原民
[2026/04/27 16:14:07] 自動運行 | 地圖: 原住民家 | 書精靈_抓到原民2
[2026/04/27 16:14:08] 自動運行 | 地圖: 原住民家 | 書精靈_抓到原民3
[2026/04/27 16:14:09] 場所移動 | 地圖: 原住民家 | 聚落外
[2026/04/27 16:14:09] 進入地圖 | 地圖: 聚落外
[2026/04/27 16:14:12] 點擊 | 地圖: 聚落外 | 聚落書精靈完成任務1
[2026/04/27 16:14:12] 點擊 | 地圖: 聚落外 | 聚落書精靈完成任務2
[2026/04/27 16:14:13] 點擊 | 地圖: 聚落外 | 聚落書精靈完成任務3
[2026/04/27 16:14:13] 場所移動 | 地圖: 聚落外 | 台江_普羅
[2026/04/27 16:14:13] 進入地圖 | 地圖: 荷蘭時代的台江內海
[2026/04/27 16:14:14] 自動運行 | 地圖: 荷蘭時代的台江內海 | 找住處
[2026/04/27 16:14:28] 點擊 | 地圖: 荷蘭時代的台江內海 | 第一關快轉
[2026/04/27 16:14:29] 進入地圖 | 地圖: 在郭奶家睡覺通靈
[2026/04/27 16:14:29] 自動運行 | 地圖: 在郭奶家睡覺通靈 | 郭懷一夢1
[2026/04/27 16:14:30] 自動運行 | 地圖: 在郭奶家睡覺通靈 | 郭懷一夢2
[2026/04/27 16:14:32] 自動運行 | 地圖: 在郭奶家睡覺通靈 | 郭懷一夢3
[2026/04/27 16:14:35] 自動運行 | 地圖: 在郭奶家睡覺通靈 | 郭懷一夢4
[2026/04/27 16:14:37] 自動運行 | 地圖: 在郭奶家睡覺通靈 | 郭懷一夢5
[2026/04/27 16:14:40] 自動運行 | 地圖: 在郭奶家睡覺通靈 | 郭懷一夢6
[2026/04/27 16:14:40] 自動運行 | 地圖: 在郭奶家睡覺通靈 | 郭懷一夢7
[2026/04/27 16:14:41] 自動運行 | 地圖: 在郭奶家睡覺通靈 | 郭懷一夢8
[2026/04/27 16:14:41] 自動運行 | 地圖: 在郭奶家睡覺通靈 | 郭懷一夢9
[2026/04/27 16:14:41] 場所移動 | 地圖: 在郭奶家睡覺通靈 | 直接施琅
[2026/04/27 16:14:42] 進入地圖 | 地圖: 荷蘭時代的台江內海
[2026/04/27 16:14:44] 點擊 | 地圖: 荷蘭時代的台江內海 | 施琅1
[2026/04/27 16:14:44] 點擊 | 地圖: 荷蘭時代的台江內海 | 施琅2
[2026/04/27 16:14:45] 點擊 | 地圖: 荷蘭時代的台江內海 | 施琅3
[2026/04/27 16:14:46] 點擊 | 地圖: 荷蘭時代的台江內海 | 選擇幫助施琅1
[2026/04/27 16:14:49] 點擊 | 地圖: 荷蘭時代的台江內海 | 選擇幫助施琅_推薦小水路
[2026/04/27 16:14:50] 進入第二關 | 地圖: 荷蘭時代的台江內海
[2026/04/27 16:14:50] 進入地圖 | 地圖: 第二關(new)
[2026/04/27 16:14:51] 自動運行 | 地圖: 第二關(new) | 進入第二關
[2026/04/27 16:15:03] 點擊 | 地圖: 第二關(new) | 蒐集芝龍快轉
[2026/04/27 16:15:06] 自動 | 地圖: 第二關(new) | 搜尋芝龍1
[2026/04/27 16:15:08] 自動 | 地圖: 第二關(new) | 搜尋芝龍2
[2026/04/27 16:15:09] 自動 | 地圖: 第二關(new) | 搜尋芝龍_排序正確
[2026/04/27 16:15:09] 自動 | 地圖: 第二關(new) | 芝龍故事1
[2026/04/27 16:15:10] 自動 | 地圖: 第二關(new) | 芝龍故事2
[2026/04/27 16:15:10] 自動 | 地圖: 第二關(new) | 芝龍故事3
[2026/04/27 16:15:10] 自動 | 地圖: 第二關(new) | 芝龍故事4
[2026/04/27 16:15:10] 自動 | 地圖: 第二關(new) | 芝龍故事5
[2026/04/27 16:15:11] 自動 | 地圖: 第二關(new) | 芝龍故事6
[2026/04/27 16:15:11] 自動 | 地圖: 第二關(new) | 書精靈總結
[2026/04/27 16:15:11] 場所移動 | 地圖: 第二關(new) | 最後劇情
[2026/04/27 16:15:11] 進入地圖 | 地圖: 學校體育館
[2026/04/27 16:15:12] 自動 | 地圖: 學校體育館 | 鄭氏在台1
[2026/04/27 16:15:14] 自動 | 地圖: 學校體育館 | 鄭氏在台2
[2026/04/27 16:15:16] 自動 | 地圖: 學校體育館 | 鄭氏在台3
[2026/04/27 16:15:19] 自動 | 地圖: 學校體育館 | 鄭氏在台4
[2026/04/27 16:15:21] 自動 | 地圖: 學校體育館 | 鄭氏在台5
